requested_n_ribs,effective_n_ribs,th_front,th_back,xf,zf,phi_ribs,th_ribs,winding_number,area_factor,normed_fx,normed_fz,reward,E_front,E_back
6,6,0.002464136397213814,0.0032917028335407456,0.02999070554881067,0.05102597236080442,"[ -4.53536928 -22.57836813 -15.01695302  27.06981387   0.72426373
 -30.77007285]",[0.0028237  0.00237559 0.0022757  0.00255455 0.00237679 0.00252341],0.23542283393936006,0.16010808356018105,0.3157049343296465,0.4746379810733412,-0.23659787075584648,0.021478195954386967,0.0723823333808045
6,6,0.002943661945826933,0.0037270454398530923,0.041036541156198925,0.030925702569170932,[22.94787668 17.89018352 29.43059732  0.67304518 32.58181471  9.83518025],[0.00202676 0.00232073 0.00208037 0.00208764 0.0023321  0.00275908],0.2478778829567006,0.2093649406082398,0.3115008068595493,0.2734916670108428,-0.49525196341364686,0.04592239511303414,0.05745858677152548
6,6,0.0026346333650861644,0.004115709862847685,0.025053429290546103,0.017636268210921013,[24.83247479 17.352631   45.97606746 -6.92558022  7.1662511  -0.81603839],[0.0026544  0.00205471 0.0025748  0.00256045 0.00271413 0.00264427],0.25688878699678364,0.343679904436047,0.5475968737323147,0.1382577281353327,-1.0099078370298127,0.0380771583101625,0.0679905557584139
6,6,0.002817210268477257,0.004829424124791761,0.044538121251932905,0.015806610485896933,[47.80941381 35.18265242 31.86999854 26.25888768 -8.53583015 -2.85847871],[0.00273583 0.00258681 0.00286843 0.00297718 0.00280363 0.0025564 ],0.2532206384360824,0.2952516717534243,0.5872833026865814,0.20372465660919384,-0.9320309562668944,0.042819183794185645,0.10135406245034963
6,6,0.002827076393935248,0.0037781188272596722,0.07101426999078453,0.01849602015624674,[35.81652465 23.93909033 -4.77345857 -8.42401377  8.32610184 -1.24003075],[0.00247373 0.00259158 0.00284072 0.00212131 0.00253059 0.00250467],0.2519984088686482,0.29364740469410217,0.35389951697551625,0.2210764480300081,-0.6784688825082585,0.04445592402784968,0.05940984830871979
6,6,0.002888954521369674,0.004400316129579533,0.04119945530610514,0.03083238258211929,"[-21.86175135  -3.97437931  32.5725325  -18.0641317    2.71307517
  26.21186088]",[0.00250607 0.00215254 0.00290822 0.00239977 0.00253681 0.00291099],0.2474493343047515,0.290460739845679,0.49948797856721155,0.8230657027367683,-0.2143323499808738,0.04396352138830817,0.09341511509913945
6,6,0.002447166937987202,0.003962549466010706,0.06920971695193201,0.013795151840181541,[32.49249271 13.45018137  6.84817003 22.68495683 16.588607   30.70909148],[0.00252261 0.00246775 0.00274644 0.00261851 0.00259176 0.00233148],0.25180880450415283,0.26300707465064405,0.32099212762508667,0.023603736591275383,-0.8122042701886082,0.028841665235256525,0.06171854393381405
6,6,0.0027434453386095212,0.004419470904737264,0.01593329489221984,0.026861612232935927,"[-11.81919879   5.38065256  59.90421907 -27.2194332   14.30033012
  38.36189613]",[0.0020967  0.00219111 0.00206799 0.00218334 0.00225979 0.00208225],0.2524882362608057,0.2960737130549498,0.5288731575162204,0.4427229559736695,-0.6347121508583063,0.03877399384837058,0.08471435719475602
6,6,0.002747193379085453,0.004286930722180583,0.038519575697193775,0.04680478812941469,"[ 22.60310403 -29.72280738  13.91847203  -4.12444447 -12.95428717
 -22.17193891]",[0.00249066 0.0029942  0.002812   0.00223892 0.00214373 0.00282129],0.238731470393062,0.39520605299969064,0.6479481638124385,1.3700978402861437,0.08821215308095254,0.026747521779525947,0.12591051022362415
6,6,0.002253803925037781,0.00393155167098617,0.0743035556536562,0.025544600627716907,[24.77343047 12.43580409  2.0767419   9.50267147 28.40040444 22.10786554],[0.00298888 0.00221783 0.00253795 0.00261037 0.00291981 0.0026292 ],0.24807412378114035,0.4324876723213144,0.2623014364079973,0.19257236549218895,-0.7502908670182632,0.021290764016582548,0.06620308854864478
6,6,0.0022129179907789376,0.004267362822385631,0.061079728087475305,-0.02876629473582004,[28.53574    45.15949072 57.44358406 48.0917833  39.61686627 32.02814219],[0.00292899 0.00210001 0.00247699 0.00218185 0.00287496 0.0022885 ],0.2593070631516497,0.7024408448627018,0.6442212729535938,0.5215098911456768,-1.0844592898222682,0.024635977957575016,0.07339861829237948
6,6,0.002996600369563065,0.0036880359818069848,0.1301824792826085,-0.039364452370845404,[29.65897008 19.4326648  18.10261    35.78537073 39.33319401 36.97846433],[0.00263882 0.00249486 0.00282055 0.00258048 0.00265662 0.00228785],0.2538958374761112,0.25392802580006435,0.43478706770469094,0.041884437104145945,-0.9007264938767207,0.0537706830498683,0.054767932038638535
6,6,0.0022357033968259054,0.0044293915291790005,0.03621418251070996,0.00628258272585569,[30.6831764  22.91551908 59.27329445  4.27356271 16.77072882 41.16594198],[0.00204813 0.00289296 0.00245907 0.00276964 0.00209602 0.00200845],0.2577052191107634,0.3362029696803375,0.5536042709813339,0.4559213432785397,-0.6915911164938949,0.023087225787771122,0.07120151484780712
6,6,0.002525197282952285,0.004690115849712655,0.04595299105385653,-0.005342986455920129,[13.78085798 51.16712292 57.15893663 44.12386807 31.74801832 19.40757679],[0.00269685 0.00220109 0.00241839 0.00248299 0.00264324 0.00274397],0.2578690183544936,0.4472409389380641,0.6516793290603947,0.4682610658653779,-0.8885282204875746,0.03400010707832539,0.08047119052474488
6,6,0.0022794282290931407,0.0037015529161946474,0.03285320442264905,0.041676018546296545,"[  4.84947476  -5.23822528  26.6669275   36.61563324  17.16557485
 -31.37126214]",[0.00283204 0.00226774 0.00279408 0.0024733  0.00260111 0.00243868],0.2456581603360329,0.20575200532840257,0.29018726878206236,0.3656686743344869,-0.37592876011201093,0.021104285982377742,0.05885316805406293
6,6,0.002239139850358592,0.004030198587937038,0.03411275755045773,0.02403910955466304,"[ 18.26647065  -9.04627396  12.66993311 -15.82705099   6.28168476
  42.44151179]",[0.00269225 0.00254339 0.00201425 0.00212291 0.00257729 0.00213796],0.2535854195816997,0.6747941045137102,0.43306740424621704,0.40977769203344183,-0.9516692363081852,0.025732135225423714,0.07375270935659779
