position,index,x_mm,y_mm
pos_1,1,-0.0,0.0
pos_1,2,-0.49937616943892227,9.987523388778445
pos_1,3,-0.24968808471946113,19.47567060811797
pos_1,4,-0.49937616943892227,28.96381782745749
pos_1,5,-0.7490642541583834,38.70165313151647
pos_1,6,-0.9987523388778445,48.43948843557546
pos_1,7,-0.9987523388778445,57.92763565491498
pos_1,8,-0.9987523388778445,67.4157828742545
pos_1,9,3.2459451013529947,59.17607607851229
pos_1,10,7.740330626303296,50.68668119805061
pos_1,11,12.234716151253595,41.94759823286947
pos_1,12,16.729101676203896,33.208515267688334
pos_1,13,21.223487201154196,24.719120387226653
pos_1,14,25.717872726104495,16.229725506764975
pos_1,15,29.962570166335336,7.490642541583834
pos_2,1,-0.0,0.0
pos_2,2,4.9613893835683385,8.682431421244592
pos_2,3,11.41119558220718,15.628376558240268
pos_2,4,16.124515496597102,24.31080797948486
pos_2,5,16.124515496597102,34.23358674662154
pos_2,6,11.659265051385596,43.41215710622296
pos_2,7,6.201736729460423,51.59844958911072
pos_2,8,-0.7442084075352509,59.04053366446323
pos_2,9,8.682431421244592,55.81563056514381
pos_2,10,18.109071250024435,51.59844958911072
pos_2,11,25.30308585619853,44.652504452115046
pos_2,12,29.76833630141003,35.72200356169204
pos_2,13,31.50482258565895,26.295363732912197
pos_2,14,31.50482258565895,16.868723904132352
pos_2,15,31.50482258565895,6.945945136995674
